sample_id,split,failure_reason,audio_frames,vision_frames
2-4autDbHVQ_59_07,train,vision_mask_zero,,
2-4autDbHVQ_66_15,train,vision_mask_zero,,
2-4autDbHVQ_71_7,train,vision_mask_zero,,
2-4autDbHVQ_79_2,train,vision_mask_zero,,
2-4autDbHVQ_82_44,train,vision_mask_zero,,
2-5hH_k2VFk_122_064,train,vision_mask_zero,,
2-5hH_k2VFk_137_16,train,vision_mask_zero,,
200941_40_06,test,vision_mask_zero,,
200941_50_014,test,vision_mask_zero,,
200941_62_51,test,vision_mask_zero,,
201582_0_0,train,audio_nonfinite_2,,
201582_57_023,train,vision_mask_zero,,
202431_0_0,train,audio_nonfinite_2,,
202431_9_5,train,vision_mask_zero,,
202810_0_0,train,audio_nonfinite_2,,
202810_71_17,train,vision_mask_zero,,
202826_71_11,test,vision_mask_zero,,
202990_108_81,train,vision_mask_zero,,
202990_30_009,train,vision_mask_zero,,
202990_73_015,train,vision_mask_zero,,
206051_0_0,train,audio_nonfinite_2,,
206051_53_042,train,vision_mask_zero,,
206507_27_19,train,vision_mask_zero,,
208148_0_0,train,audio_nonfinite_2,,
208148_18_1,train,vision_mask_zero,,
208148_39_024,train,vision_mask_zero,,
208299_0_0,train,audio_nonfinite_2,,
208299_71_6,train,vision_mask_zero,,
208299_75_042,train,vision_mask_zero,,
208322_66_7,test,vision_mask_zero,,
208322_91_22,test,vision_mask_zero,,
208592_18_4,test,vision_mask_zero,,
209354_56_055,train,vision_mask_zero,,
209758_46_007,test,vision_mask_zero,,
209758_70_003,test,vision_mask_zero,,
210238_59_31,train,vision_mask_zero,,
210238_64_26,train,vision_mask_zero,,
210238_77_55,train,vision_mask_zero,,
210259_126_056,test,vision_mask_zero,,
210618_0_0,train,audio_nonfinite_2,,
210618_27_6,train,vision_mask_zero,,
210618_97_31,train,vision_mask_zero,,
211875_13_012,test,vision_mask_zero,,
211875_18_14,test,vision_mask_zero,,
212532_0_0,train,audio_nonfinite_2,,
213327_0_0,test,audio_nonfinite_2,,
214095_36_28,train,vision_mask_zero,,
215318_0_0,test,audio_nonfinite_2,,
215318_22_6,test,vision_mask_zero,,
215318_33_9,test,vision_mask_zero,,
216007_114_81,train,vision_mask_zero,,
216007_133_02,train,vision_mask_zero,,
216007_140_004,train,vision_mask_zero,,
216097_0_0,valid,audio_nonfinite_2,,
21638_0_0,train,audio_nonfinite_2,,
216857_0_0,train,audio_nonfinite_2,,
216857_0_391,train,audio_nonfinite_2,,
216857_97_042,train,vision_mask_zero,,
218708_32_31,train,vision_mask_zero,,
218708_49_08,train,vision_mask_zero,,
218708_61_02,train,vision_mask_zero,,
218708_67_8,train,vision_mask_zero,,
219775_0_0,train,audio_nonfinite_2,,
219775_47_044,train,vision_mask_zero,,
220134_75_9,train,vision_mask_zero,,
220200_32_019,train,vision_mask_zero,,
220200_37_008,train,vision_mask_zero,,
220200_75_8,train,vision_mask_zero,,
220548_110_63,train,vision_mask_zero,,
220548_137_57,train,vision_mask_zero,,
220548_42_9,train,vision_mask_zero,,
220548_90_067,train,vision_mask_zero,,
220548_95_67,train,vision_mask_zero,,
220548_97_87,train,vision_mask_zero,,
221137_0_0,test,audio_nonfinite_2,,
221153_46_32,test,vision_mask_zero,,
221153_53_49,test,vision_mask_zero,,
221274_0_0,test,audio_nonfinite_2,,
221740_0_0,train,audio_nonfinite_2,,
221740_33_027,train,vision_mask_zero,,
222116_0_0,train,audio_nonfinite_2,,
222247_135_024,test,vision_mask_zero,,
223431_18_19,valid,vision_mask_zero,,
223431_49_39,valid,vision_mask_zero,,
223431_76_07,valid,vision_mask_zero,,
22373_32_0,test,vision_mask_zero,,
224263_63_049,test,vision_mask_zero,,
224370_82_006,test,vision_mask_zero,,
224370_88_0025,test,vision_mask_zero,,
224772_57_038,train,vision_mask_zero,,
224772_93_51,train,vision_mask_zero,,
224772_95_64,train,vision_mask_zero,,
225343_0_0,train,audio_nonfinite_1,,
225416_0_0,train,audio_nonfinite_2,,
225416_101_022,train,vision_mask_zero,,
225416_73_027,train,vision_mask_zero,,
225770_60_046,valid,vision_mask_zero,,
225770_97_4,valid,vision_mask_zero,,
226601_32_08,test,vision_mask_zero,,
226601_45_16,test,vision_mask_zero,,
226601_56_005,test,vision_mask_zero,,
226601_84_61,test,vision_mask_zero,,
22689_0_0,test,audio_nonfinite_2,,
22689_67_19,test,vision_mask_zero,,
227173_0_0,train,audio_nonfinite_1,,
227173_32_08,train,vision_mask_zero,,
227173_42_032,train,vision_mask_zero,,
227173_67_21,train,vision_mask_zero,,
227416_53_017,train,vision_mask_zero,,
227416_60_48,train,vision_mask_zero,,
22821_56_035,train,vision_mask_zero,,
22821_58_27,train,vision_mask_zero,,
22821_60_5,train,vision_mask_zero,,
229090_0_0,train,audio_nonfinite_2,,
229090_130_046,train,vision_mask_zero,,
229903_0_0,train,audio_nonfinite_2,,
229967_0_0,train,audio_nonfinite_2,,
229967_40_35,train,vision_mask_zero,,
229967_59_038,train,vision_mask_zero,,
230252_0_0,train,audio_nonfinite_2,,
233389_0_0,train,audio_nonfinite_2,,
233389_13_002,train,vision_mask_zero,,
233389_82_025,train,vision_mask_zero,,
233939_0_0,test,audio_nonfinite_2,,
233939_44_001,test,vision_mask_zero,,
234046_60_43,test,vision_mask_zero,,
234046_66_54,test,vision_mask_zero,,
234053_36_35,train,vision_mask_zero,,
234053_74_054,train,vision_mask_zero,,
234587_0_0,train,audio_nonfinite_2,,
234587_71_49,train,vision_mask_zero,,
236399_0_0,train,audio_nonfinite_2,,
236442_0_0,test,audio_nonfinite_2,,
23656_0_0,test,audio_nonfinite_2,,
236696_0_0,train,audio_nonfinite_2,,
236696_35_002,train,vision_mask_zero,,
237009_0_0,valid,audio_nonfinite_2,,
237009_54_019,valid,vision_mask_zero,,
237363_64_027,test,vision_mask_zero,,
237363_80_051,test,vision_mask_zero,,
238060_105_004,train,vision_mask_zero,,
238060_40_12,train,vision_mask_zero,,
238100_0_0,train,audio_nonfinite_2,,
238683_0_0,train,audio_nonfinite_2,,
238889_23_04,train,vision_mask_zero,,
239235_0_0,train,audio_nonfinite_2,,
239235_80_21,train,vision_mask_zero,,
240915_28_008,train,vision_mask_zero,,
240915_65_0,train,vision_mask_zero,,
241164_54_12,train,vision_mask_zero,,
241164_61_013,train,vision_mask_zero,,
24196_0_0,test,audio_nonfinite_2,,
24196_49_32,test,vision_mask_zero,,
24196_58_39,test,vision_mask_zero,,
24196_66_42,test,vision_mask_zero,,
24202_0_0,train,audio_nonfinite_2,,
24202_41_034,train,vision_mask_zero,,
243338_71_041,train,vision_mask_zero,,
24351_0_0,test,audio_nonfinite_2,,
24351_71_056,test,vision_mask_zero,,
24351_75_007,test,vision_mask_zero,,
243981_104_076,test,vision_mask_zero,,
243981_124_16,test,vision_mask_zero,,
243981_43_034,test,vision_mask_zero,,
244180_0_0,train,audio_nonfinite_2,,
244180_49_49,train,vision_mask_zero,,
244261_141_061,train,vision_mask_zero,,
244261_84_52,train,vision_mask_zero,,
244817_0_0,train,audio_nonfinite_2,,
244817_78_064,train,vision_mask_zero,,
244829_50_019,train,vision_mask_zero,,
244836_53_51,train,vision_mask_zero,,
24504_0_0,test,audio_nonfinite_2,,
24504_54_02,test,vision_mask_zero,,
245243_47_044,train,vision_mask_zero,,
245243_97_84,train,vision_mask_zero,,
245276_0_0,train,audio_nonfinite_2,,
245276_63_024,train,vision_mask_zero,,
245276_66_4,train,vision_mask_zero,,
245582_146_129,test,vision_mask_zero,,
247318_0_0,valid,audio_nonfinite_2,,
247318_37_008,valid,vision_mask_zero,,
247382_75_001,train,vision_mask_zero,,
247382_80_3,train,vision_mask_zero,,
247382_88_7,train,vision_mask_zero,,
248837_66_0025,train,vision_mask_zero,,
250430_50_018,train,vision_mask_zero,,
251826_71_43,train,vision_mask_zero,,
252097_71_036,test,vision_mask_zero,,
252177_0_0,train,audio_nonfinite_2,,
25271_47_27,train,vision_mask_zero,,
252912_42_036,test,vision_mask_zero,,
252912_54_0045,test,vision_mask_zero,,
252912_9_3,test,vision_mask_zero,,
252998_0_0,valid,audio_nonfinite_2,,
252998_49_39,valid,vision_mask_zero,,
252998_75_29,valid,vision_mask_zero,,
254298_58_3,train,vision_mask_zero,,
255224_0_0,train,audio_nonfinite_2,,
255852_21_015,train,vision_mask_zero,,
256976_0_0,train,audio_nonfinite_1,,
256976_49_01,train,vision_mask_zero,,
257045_0_0,train,audio_nonfinite_2,,
257045_12_06,train,vision_mask_zero,,
257247_0_0,valid,audio_nonfinite_2,,
257247_82_55,valid,vision_mask_zero,,
257277_0_0,test,audio_nonfinite_2,,
257531_71_64,train,vision_mask_zero,,
257531_93_071,train,vision_mask_zero,,
257534_0_0,test,audio_nonfinite_2,,
257534_57_052,test,vision_mask_zero,,
258654_45_24,valid,vision_mask_zero,,
259260_110_39,train,vision_mask_zero,,
259260_114_94,train,vision_mask_zero,,
259260_23_07,train,vision_mask_zero,,
260011_57_038,train,vision_mask_zero,,
261267_70_023,train,vision_mask_zero,,
261900_0_0,train,audio_nonfinite_2,,
261900_158_083,train,vision_mask_zero,,
261900_159_141,train,vision_mask_zero,,
261900_181_59,train,vision_mask_zero,,
261900_53_032,train,vision_mask_zero,,
261902_103_068,train,vision_mask_zero,,
261902_113_076,train,vision_mask_zero,,
261902_137_051,train,vision_mask_zero,,
261902_163_78,train,vision_mask_zero,,
262165_0_0,train,audio_nonfinite_2,,
262165_111_26,train,vision_mask_zero,,
262165_132_047,train,vision_mask_zero,,
262165_144_124,train,vision_mask_zero,,
262165_81_018,train,vision_mask_zero,,
262165_84_41,train,vision_mask_zero,,
262226_13_013,train,vision_mask_zero,,
262226_62_8,train,vision_mask_zero,,
262226_67_27,train,vision_mask_zero,,
264418_0_0,train,audio_nonfinite_2,,
264418_119_71,train,vision_mask_zero,,
264446_0_0,train,audio_nonfinite_2,,
264446_147_027,train,vision_mask_zero,,
264446_163_94,train,vision_mask_zero,,
264446_251_87,train,vision_mask_zero,,
264446_254_045,train,vision_mask_zero,,
264446_36_36,train,vision_mask_zero,,
265959_108_092,train,vision_mask_zero,,
265959_60_046,train,vision_mask_zero,,
265959_89_079,train,vision_mask_zero,,
266366_0_0,train,audio_nonfinite_2,,
266366_133_21,train,vision_mask_zero,,
266366_135_066,train,vision_mask_zero,,
266366_139_76,train,vision_mask_zero,,
266366_158_023,train,vision_mask_zero,,
266396_141_71,train,vision_mask_zero,,
266396_154_88,train,vision_mask_zero,,
266396_163_98,train,vision_mask_zero,,
266396_181_72,train,vision_mask_zero,,
266396_185_84,train,vision_mask_zero,,
266396_196_117,train,vision_mask_zero,,
266396_200_018,train,vision_mask_zero,,
266396_208_0,train,vision_mask_zero,,
266396_210_095,train,vision_mask_zero,,
266396_223_085,train,vision_mask_zero,,
266396_229_052,train,vision_mask_zero,,
266396_238_72,train,vision_mask_zero,,
266396_75_76,train,vision_mask_zero,,
266396_80_34,train,vision_mask_zero,,
266791_0_0,valid,audio_nonfinite_2,,
266791_0_76,valid,audio_nonfinite_2,,
266791_12_005,valid,vision_mask_zero,,
266852_115_08,train,vision_mask_zero,,
266852_211_018,train,vision_mask_zero,,
266938_180_163,train,vision_mask_zero,,
266938_181_7,train,vision_mask_zero,,
266938_203_44,train,vision_mask_zero,,
266938_218_057,train,vision_mask_zero,,
266938_50_039,train,vision_mask_zero,,
266938_71_4,train,vision_mask_zero,,
267255_115_64,train,vision_mask_zero,,
267255_76_04,train,vision_mask_zero,,
267278_105_043,train,vision_mask_zero,,
267278_141_88,train,vision_mask_zero,,
267466_225_47,test,vision_mask_zero,,
267466_75_69,test,vision_mask_zero,,
267694_0_0,test,audio_nonfinite_1,,
267694_24_018,test,vision_mask_zero,,
267799_0_0,train,audio_nonfinite_2,,
26WrTHLJJIU_0_0,train,audio_nonfinite_2,,
270254_97_49,valid,vision_mask_zero,,
270628_0_0,train,audio_nonfinite_2,,
270628_135_34,train,vision_mask_zero,,
270628_137_47,train,vision_mask_zero,,
270628_146_139,train,vision_mask_zero,,
270628_221_0105,train,vision_mask_zero,,
270665_106_65,train,vision_mask_zero,,
270665_168_25,train,vision_mask_zero,,
270956_60_52,train,vision_mask_zero,,
271366_106_0065,train,vision_mask_zero,,
271366_112_068,train,vision_mask_zero,,
271366_114_053,train,vision_mask_zero,,
271366_123_053,train,vision_mask_zero,,
271366_177_09,train,vision_mask_zero,,
271366_189_028,train,vision_mask_zero,,
271366_71_47,train,vision_mask_zero,,
271594_113_0105,train,vision_mask_zero,,
271594_119_61,train,vision_mask_zero,,
271594_36_33,train,vision_mask_zero,,
271594_44_45,train,vision_mask_zero,,
271594_82_025,train,vision_mask_zero,,
271598_65_045,train,vision_mask_zero,,
272624_0_0,valid,audio_nonfinite_2,,
272838_71_06,test,vision_mask_zero,,
273171_23_1,train,vision_mask_zero,,
273171_5_02,train,vision_mask_zero,,
273237_106_73,train,vision_mask_zero,,
273237_147_068,train,vision_mask_zero,,
273237_58_33,train,vision_mask_zero,,
273250_53_26,test,vision_mask_zero,,
273250_65_065,test,vision_mask_zero,,
273250_69_43,test,vision_mask_zero,,
273250_81_018,test,vision_mask_zero,,
273314_27_08,train,vision_mask_zero,,
273531_115_7,train,vision_mask_zero,,
273531_82_0015,train,vision_mask_zero,,
273531_97_062,train,vision_mask_zero,,
273539_0_0,valid,audio_nonfinite_2,,
273539_72_019,valid,vision_mask_zero,,
274219_0_0,train,audio_nonfinite_2,,
274219_31_19,train,vision_mask_zero,,
274219_58_29,train,vision_mask_zero,,
274219_81_058,train,vision_mask_zero,,
275267_58_011,test,vision_mask_zero,,
275267_73_027,test,vision_mask_zero,,
275267_79_053,test,vision_mask_zero,,
275620_0_0,train,audio_nonfinite_2,,
275620_103_008,train,vision_mask_zero,,
275620_115_091,train,vision_mask_zero,,
275620_54_11,train,vision_mask_zero,,
275620_84_65,train,vision_mask_zero,,
276217_139_56,train,vision_mask_zero,,
276217_163_141,train,vision_mask_zero,,
277991_1_03,train,vision_mask_zero,,
27ubp7CLLKQ_98_059,train,vision_mask_zero,,
28006_129_109,test,vision_mask_zero,,
28006_34_08,test,vision_mask_zero,,
28006_64_037,test,vision_mask_zero,,
28006_82_63,test,vision_mask_zero,,
282560_0_0,train,audio_nonfinite_2,,
282560_63_009,train,vision_mask_zero,,
282586_0_0,train,audio_nonfinite_2,,
283935_0_0,test,audio_nonfinite_1,,
284673_0_0,train,audio_nonfinite_2,,
284673_98_05,train,vision_mask_zero,,
288714_14_1,train,vision_mask_zero,,
288714_36_25,train,vision_mask_zero,,
288714_42_007,train,vision_mask_zero,,
288714_67_18,train,vision_mask_zero,,
288766_106_69,train,vision_mask_zero,,
288766_113_0055,train,vision_mask_zero,,
288766_123_102,train,vision_mask_zero,,
288766_62_25,train,vision_mask_zero,,
288766_68_027,train,vision_mask_zero,,
290088_64_047,train,vision_mask_zero,,
29044_0_0,train,audio_nonfinite_2,,
290546_0_0,valid,audio_nonfinite_2,,
290546_39_003,valid,vision_mask_zero,,
291121_0_0,train,audio_nonfinite_1,,
292277_0_0,train,audio_nonfinite_2,,
294178_75_9,train,vision_mask_zero,,
298736_0_0,train,audio_nonfinite_2,,
298736_129_079,train,vision_mask_zero,,
298736_88_9,train,vision_mask_zero,,
298774_0_0,train,audio_nonfinite_2,,
298774_119_3,train,vision_mask_zero,,
298774_133_23,train,vision_mask_zero,,
298774_99_076,train,vision_mask_zero,,
2BuFtglEcaY_0_0,test,audio_nonfinite_2,,
2HP4KedfmSc_0_0,train,audio_nonfinite_2,,
2HP4KedfmSc_34_015,train,vision_mask_zero,,
2HP4KedfmSc_49_13,train,vision_mask_zero,,
2JY5HXBWO84_118_033,train,vision_mask_zero,,
2JY5HXBWO84_169_067,train,vision_mask_zero,,
2OLVF-KEaZU_41_008,train,vision_mask_zero,,
2QXHdu2zlQY_0_0,test,audio_nonfinite_2,,
2QXHdu2zlQY_53_002,test,vision_mask_zero,,
2RDubrUjI-k_13_7,train,vision_mask_zero,,
2S00zYaVrtc_0_0,valid,audio_nonfinite_2,,
2S00zYaVrtc_114_082,valid,vision_mask_zero,,
2S00zYaVrtc_13_6,valid,vision_mask_zero,,
2S00zYaVrtc_146_039,valid,vision_mask_zero,,
2Wo-0trLBjU_176_48,train,vision_mask_zero,,
2Xt31_d0XEE_0_81,valid,audio_nonfinite_2,,
2ahFSMFvs_c_0_0,train,audio_nonfinite_2,,
2c2fhh_Dsoo_0_0,train,audio_nonfinite_2,,
2cwNG0YuwtQ_136_82,train,vision_mask_zero,,
2f6ZHqJ76EU_0_0,train,audio_nonfinite_2,,
2f6ZHqJ76EU_93_06,train,vision_mask_zero,,
2lj0BaPsJpM_0_0,train,audio_nonfinite_2,,
2mWPHvbKzL8_79_77,train,vision_mask_zero,,
2o2ljA0QD7g_90_018,test,vision_mask_zero,,
2vsgDSlJ9pU_0_0,test,audio_nonfinite_2,,
2ze94yo2aPo_0_0,test,audio_nonfinite_2,,
30763_0_0,train,audio_nonfinite_2,,
31197_0_0,train,audio_nonfinite_2,,
31197_40_01,train,vision_mask_zero,,
31tcuDMQ_H8_66_52,train,vision_mask_zero,,
31tcuDMQ_H8_89_089,train,vision_mask_zero,,
32681_47_024,valid,vision_mask_zero,,
33170_0_0,valid,audio_nonfinite_2,,
33170_22_7,valid,vision_mask_zero,,
33312_0_0,train,audio_nonfinite_2,,
33312_93_62,train,vision_mask_zero,,
33439_61_043,train,vision_mask_zero,,
34346_27_4,train,vision_mask_zero,,
34346_94_079,train,vision_mask_zero,,
36098_0_0,train,audio_nonfinite_2,,
367506_49_7,train,vision_mask_zero,,
367576_45_03,train,vision_mask_zero,,
36o2cux9kfQ_0_0,train,audio_nonfinite_2,,
37117_0_0,train,audio_nonfinite_2,,
37NMbnd7r20_0_0,test,audio_nonfinite_2,,
38019_0_0,train,audio_nonfinite_2,,
38019_20_006,train,vision_mask_zero,,
38019_71_36,train,vision_mask_zero,,
3B1zIUj-k3o_27_19,train,vision_mask_zero,,
3B1zIUj-k3o_62_27,train,vision_mask_zero,,
3DgOMTs3A1E_0_0,train,audio_nonfinite_2,,
3DgOMTs3A1E_100_054,train,vision_mask_zero,,
3DgOMTs3A1E_139_68,train,vision_mask_zero,,
3DgOMTs3A1E_26_731,train,audio_nonfinite_4,,
3FpmKxZgihw_0_0,train,audio_nonfinite_2,,
3GyEnzE1NTQ_0_0,train,audio_nonfinite_2,,
3IUVpwx23cY_110_71,test,vision_mask_zero,,
3MFNIag0wNE_142_06,valid,vision_mask_zero,,
3MFNIag0wNE_62_36,valid,vision_mask_zero,,
3VsrcbjPwZY_0_0,train,audio_nonfinite_2,,
3WZ6R9B0PcU_67_029,test,vision_mask_zero,,
3Wi0if_L6Ug_157_105,train,vision_mask_zero,,
3Wi0if_L6Ug_49_14,train,vision_mask_zero,,
3ZmLhK_YHl8_0_0,train,audio_nonfinite_2,,
3aD0xAgxxyw_0_0,train,audio_nonfinite_2,,
3f6xCzKx9CA_5_0,train,vision_mask_zero,,
3fhCxePBuZY_0_0,train,audio_nonfinite_2,,
3hOlJf_JQDs_5_06,test,vision_mask_zero,,
3j94B0pzSVs_0_0,valid,audio_nonfinite_2,,
3j94B0pzSVs_100_075,valid,vision_mask_zero,,
3kNPvhdF1NA_0_0,train,audio_nonfinite_2,,
3lkn8MS3n8Q_172_35,train,vision_mask_zero,,
3lkn8MS3n8Q_194_151,train,vision_mask_zero,,
3n44IP3tCVE_0_0,train,audio_nonfinite_2,,
3n44IP3tCVE_122_094,train,vision_mask_zero,,
3ocpWAmSNUE_41_008,train,vision_mask_zero,,
